Ad tent-qeblent?
Ad ten-tseɛfemt?
Ad tent-seɛfent?
Ad ten-tseggmeḍ?
Ad ten-tseggmem?
Ad tent-seggmen?
Ad tent-snegren.
Ad tent-sseɣlin.
Ad tent-tamnemt?
Ad tent-teddmeḍ?
Ad tent-teddmem?
Ad tent-tleqqem?
Ad tent-tqebleḍ?
Ad tent-tqeblem?
Ad tent-tseɛfeḍ?
Ad tent-tseɛfem?
Ad tent-tseggem?
Ad tent-twanseḍ?
Ad tent-twansem?
Ad ten-twansemt?
Ad tent-wansent?
Ad ten-yesseɣli.
Iṣeggem-itt Tom.
Iseggem-iyi-ten.
Iseḥḥa wudem-is.
Iselkimen-a inu.
Isellek-iyi Bob.
Isem-im Tamazɣa.
Isem-inu Ludwig.
Isem-inu Yamada.
Isem-is baba-ak?
Isem-is Lucifera
Isem-is yelli-k?
Isem-is yelli-m?
Isem-is yemma-k?
Isem-is yemma-m?
Isem-iw Hopkins.
Isem-nnes Irina.
Iserreḥ i umrar.
Isɣa Tum tihirit
Islek umcic-nni.
Isru-kem-id Tom?
Issen ad d-iɣeṛ.
Issin iẓuran-ik.
Issirid iman-is.
Iṣubb ar Bgayet.
Itcha imkourarn.
Iṭebbeg-iyi Tom.
Iteddu s leɛqel.
Iteddu s uɛijel.
Iteddu s uɣiwel.
Iteddu s weɣṣab.
Iteddu yettaḍsa.
Iteffer iman-is.
Iteffer udem-is.
Ittaggad tili-s.
Ittawi aɣyul-is.
Ittbeddil zzman.
Ittɛedday lweqt.
Ittɛedday wakud.
Iṭṭerḍeq waɛbar.
Ittezzi am yizi.
Ittouty ougadir.
Ittuɣaḍ ugeswaḥ.
Iwacu tetqllqeḍ?
Iwacu tettaḍsaḍ?
Iwacu teṭṭaxreḍ?
Iwacu tsellmeḍ ?
Iwala-t neɣ ala?
Iwɛer-asen lḥal.
Iwet Sami Layla.
Iwet-it s rrkel.
Iwet-itt baba-s.
Iwet-itt karruf.
Iwet-iyi s iɣef.
Iwet-iyi ubeḥri.
Iwufeq-iyi Sami.
Iwwi-tt uberriḍ.
Ixbec-iyi umcic.
Ixdem-asent kra?
Ixeddem f uxxam.
Ixelleṣ s lqebḍ.
Ixemmem fell-as.
Ixeyyeb-iyi Tom.
Ixuṣṣ tteṛbeyya.
Ixxamen grurjen.
Iyya ad nečč da.
Iyya ad tceḍḥeḍ!
Iyya ad tɛerḍeḍ.
Iyyaw ad nebdut.
Izem yugar aydi?
Izmer ad d-tṛuḥ.
Izmer d tameɣṛa.
Iẓra ur ttɛumun.
Jack yeggan kan.
Jaṛas ad qqimeɣ.
Jeddi d aqbayli.
Jerḥeɣ iman-inu.
Jerred uṭṭun-im.
Jeyyreɣ iɣerban.
Jjan arraw-nsen.
Jjmeɣ-kent aṭas.
Jmeɛ tazmert-ik.
Jmeɛ tazmert-im.
John yesɛa imru.
Kain yenɣa Abel.
Kcem ar usganfu.
Kcem-d ar daxel!
Keč s timmad-ik.
Kečč arwaḥ ṣbeḥ.
Kečč d abeṛṛani?
Kečč d aɛdaw-iw.
Kečč d afransis?
Kečč d Alubnani?
Kečč d ameẓriri?
Kečč d amsestan?
Kecc d asaḍ-inu.
Kečč inu imir-a.
Kecc maci d Tom?
Kecc tessawaled.
Kecc tettwejjed.
Kecc tettwejjeḍ.
Kecc tlid aksum.
Keččini tḥeṛceḍ!
Kecem-d ttxil-k.
Kecmemt s axxam.
Kellxeɣ-ak, naɣ?
Kellxeɣ-am, naɣ?
Kem d taselmadt?
Kem s timmaḍ-im.
Kemm d mm tirga.
Kemm d tacinwat?
Kemm d taɛeẓrit.
Kemm d taɛibant?
Kemm d taglizit?
Kemm d Tajuṛjit.
Kemm d Takurdit?
Kemm d talmanit?
Kemm d taluzuft?
Kemm d tamagadt.
Kemm d tamakart.
Kemm d tamaynut?
Kemm d tameṭṭut.
Kemm d tamusamt.
Kemm d tanaẓuṛt?
Kemm d tapandat.
Kemm d taswidit?
Kemm d tayemmat?
Kemm d tazurant?
Kemm d tukṛanit?
Kemm inu imir-a.
Kemm tettwejjed.
Kemm tettwejjeḍ.
Kemm tlid aksum.
Kemmel abrid-ik.
Kemmel abrid-im.
Kemmel asmeḥses!
Kemmel asmuzget!
Kemmel ɣer zdat.
Kemmini tḥeṛceḍ!
Kemmleɣ axeddim.
Kemmleɣ d tikli.
Kemmlem ajgugel.
Kemmlem amuqqel!
Kemmlem axeddim!
Kemmlemt aɣenni!
Kemmlemt taɣuzi.
Kemmlemt tazzla!
Kemmlent amahil.
Kemmlet mbiwlet.
Kemmlet tanhaṛt.
Kemmlet ttnaɣet.
Ken yugar Seiko.
Kenwi d atmaten?
Kenwi d igerdan.
Kenwi d imburen?
Kenwi d imdanen.
Kenwi d imdanen?
Kenwi d imsulta?
Kenwi d imẓiwen.
Kenwi d iqṛuṛen.
Kenwi d izerman!
Kenwi d Izwawen?
Kenwi d ungifen!
Kenwi d uqfilen.
Kenwi seg yimal?
Kerheɣ ad aḍneɣ.
Keṛheɣ amceččew.
Keṛheɣ amdebbez.
Keṛheɣ iman-inu.
Keṛheɣ imnafqen.
Keṛheɣ tasertit.
Keṛheɣ tikerkas.
Keṛheɣ tissisin.
Keṛheɣ tizrawin.
Keṛheɣ Ustṛalya.
Keṛheɣ-kem aṭas.
Keṛheɣ-ken aṭas.
Keṛheɣ-t imir-a.
Keṛhen isaḍufen.
Keṛhen tifesnax.
Keṛhen tikerkas.
Keṛhen tissisin.
Keṛhent takriḍt.
Kerzeɣ iger-nni.
Kerzen iger-nni.
Kessen tiɣeḍḍen.
Ketcini d awrus?
Kfant lemcawṛat.
Kfiɣ yakan učči.
Kfu ayefki-inek.
Kid ul tezmired!
Kifkif-iten akk.
Kkan iḍ ddukkli.
Kkfan wussan-is.
Kkfumt tikerkas.
Kkrem fell-awen!
Kkret ad teččem.
Kkret fell-awen!
Kkseɣ-d tuɣmest.
Kksen-akent-ten.
Kksen-asen-tent.
Kksen-asent-ten.
Kksen-awen-tent.
Kksent-akent-tt.
Kksent-asen-ten.
Kksent-asent-tt.
Kksent-awen-ten.
Kksent-iyi-tent.
Kra ur s-ittruḥ.
Kra ur t-sraḥeɣ.
Kru taxxamt-nni.
Kullec d aheggi.
Kullec yessusem.
L mani ɣa neẓwa?
La as-nettḥulfu.
La as-tettḥulfu.
La as-ttḥulfunt.
La as-yettḥulfu.
La awent-selleɣ.
La bennuɣ aɣrab.
La bennun axxam.
La d-ibeddu kra.
La d-nettqerrib.
La d-tettqerrib.
La d-tteqqalent.
La d-ttqerribeɣ.
La d-yettqerrib.
La ɣ-tettnadimt?
La irennu lḥeṛs.
La irennu wadad.
La iyi-tessinif.
La iyi-tettnadi?
La iyi-tneɣɣemt.
La iyi-treddumt?
La iyi-tsellemt?
La iyi-ttnadint?
La iyi-yettnadi?
La k-sseqdacent.
La nettemɛujjut.
La nettemlelluy.
La qqareɣ adlis.
La qqaṛeɣ adlis.
La qqareɣ aɣmis.
La tcennu Keiko.
La ten-tettnadi?
La ten-ttnadint?
La tent-ttnadin?
La tent-ttwaliɣ.
La ten-yettnadi?
La teshetrifemt!
La teshetrifemt.
La teskerkisemt.
La teskerkisemt?
La teskiddibemt.
La teskiddibemt?
La tesmesxiremt!
La tesmesxiremt.
La tettḍafaremt?
La tettderwiced.
La tettderwiceḍ.
La tettderwicem.
La tetteɣ aɣṛum.
La tettemɛujjut.
La tettemlelluy.
La tettizwiɣemt.
La tettmahalemt?
La tettmesxiṛeḍ?
La tettmesxiṛem?
La tettmettateḍ?
La tettmettatem?
La tettnuddumed.
La tettnuddumeḍ.
La tettnuddumed?
La tettnuddumem.
La tettnuddumem?
La tettqeṣṣired!
La tettqeṣṣired.
La tettqeṣṣiṛeḍ?
La tettqeṣṣiṛem?
La tettrud, naɣ?
La tettrum, naɣ?
La t-nettcewwil.
La t-nettṣeggim.
La tselled mliḥ?
La tsellem mliḥ?
La tsett igumma.
La tsett imensi.
La ttaruɣ ungal.
La ttɛassaɣ Tom.
La ttɛassan Tom.
La tteddun ḥafi.
La ttemɛujjuteɣ.
La ttemɛujjuten.
La ttemlelluyeɣ.
La ttemlelluyen.
La ttetteɣ ṛṛuz.
La t-tettnadimt?
La ttezmumugent.
La ttnadin aman.
La tt-tettnadiḍ?
La tt-tettnadim?
La ttwaliɣ aydi.
La ttwaliɣ itri.
La yeqqar aɣmis.
La yeqqaṛ aɣmis.
La yettemɛujjut.
La yettemlelluy.
La yettess aman.
La yettraḥ mliḥ.
La yettusu Sami.
Lac ɣerč sxanet.
Lac ɣiri nefḥet.
Lant uguren daɣ?
Layla ad temmet.
Layla ad teslek.
Layla d Tasurit.
Layla temgerrad.
Layla tettu kra.
Layla tra iysan.
Layla twet Sami.
Lbaḍna-s teffer.
Ldi awemmus-nni.
Ldim allen-nwen.
Ldimt imi-nkent!
Ledyeɣ tazewwut.
Ledyemt tizewwa!
Ledyent tawwurt.
Lɛeb-itt d nekk.
Leɛmeɛ i k-ttuɣ.
Lehlak imṭenneb.
Lehna tif leɣna.
Leḥnak n tbarda.
Lemdeɣ ameč seč.
Lemdeɣ tamaziɣt.
Lemdem tamaziɣt.
Lemdet tamaziɣt.
Leqdic igerrzen!
Lewhi n tmeddit.
Lfayda ur telli.
Lfromaj d awraɣ.
Lḥalet d tijnaw.
Lḥaṣul, umneɣ-k.
Lḥiɣ di taddart.
Lḥu akken iwata!
Lḥu cwiya cwiya.
Liɣ akud imir-a.
Liɣ tiṭ n zzjaj.
Liɣ zzheṛ ass-a.
Linda ad texdem.
Lisa d talmanit.
Lkas-nni d ilem.
Lkensiɣ iɣeḍmen.
Llan bedden din.
Llan beddun zik.
Llan deg ugaṛaj.
Llan feṛḥen akk.
Llan ḥwajen-kem.
Llan ḥwajen-ken.
Llan iṛuḥaniyen.
Llan keṛhen Tom.
Llan qqimen din.
Llan sɛan amcic.
Llan sɛan lḥeqq.
Llan ttagaden-k.
Llan ttbeddilen.
Llan ttcetkin-d.
Llan ttɛeḍḍilen.
Llan tteggzen-k.
Llan ttemɣanzun.
Llan ttemyerdun.
Llan ttfunzuren.
Llan ttɣimin da.
Llan ttkemmilen.
Llan ttkeyyifen.
Llan ttmerriḥen.
Llan ttmuqqulen.
Llan ttnuddumen.
Llan ttqeyyilen.
Llan ttqummucen.
Llan ttseffiqen.
Llan ttwaḍḍafen.
Llan ttwaḥeṛṛen.
Llan ttwargamen.
Llan zedɣen din.
Llant ccucufent.
Llant celgent-d.
Llant deg uxxam.
Llant diri-tent.
Llant ffunzrent.
Llant ɣɣarent-d.
Llant ḥwajent-k.
Llant mmehmhent.
Llant qqummcent.
Llant rebbunt-d.
Llant sgugucent.
Llant ssawalent.
Llant ssnent-tt.
Llant ssusufent.
Llant ttakint-d.
Llant ttɛassant.
Llant tteccḍent.
Llant tteffɣent.
Llant tteffrent.
Llant tteqqnent.
Llant tteẓẓlent.
Llant ttgijjint.
Llant tturarent.
Llant ttuzurent.
Llant ttẓallant.
Lliɣ am nutenti.
Lliɣ beddeɣ din.
Lliɣ bedduɣ zik.
Lliɣ bɣiɣ yiwen.
Lliɣ bɣiɣ yiwet.
Lliɣ d imsikel .
Lliɣ d tamaynut.
Lliɣ deg idurar.
Lliɣ deg ufurgu.
Lliɣ deg webrid.
Lliɣ deg wexxam.
Lliɣ fkiɣ laman.
Lliɣ g Hirucima.
Lliɣ ggunniɣ-tt.
Lliɣ ḥwajeɣ-kem.
Lliɣ ḥwajeɣ-ken.
Lliɣ keṛheɣ Tom.
Lliɣ kkeɛbubreɣ.
Lliɣ kkufferraɣ.
Lliɣ la ɣerrqeɣ.
Lliɣ liɣ taydit.
Lliɣ qqimeɣ din.
Lliɣ restaurant.
Lliɣ sɛiɣ amcic.
Lliɣ sɛiɣ ccɣel.
Lliɣ sɛiɣ lḥeqq.
Lliɣ sɛiɣ yiwen.
Lliɣ sɛiɣ yiwet.
Lliɣ sɛiɣ zzheṛ.
Lliɣ tetteɣ kra.
Lliɣ ttbeddileɣ.
Lliɣ ttcewwileɣ.
Lliɣ ttḍebbileɣ.
Lliɣ ttḍebbireɣ.
Lliɣ ttɛeḍḍileɣ.
Lliɣ ttejjmeɣ-t.
Lliɣ ttfunzureɣ.
Lliɣ ttgennizeɣ.
Lliɣ ttḥibbiɣ-k.
Lliɣ ttkemmileɣ.
Lliɣ ttkeyyifeɣ.
Lliɣ ttkikkiḍeɣ.
Lliɣ ttlejlijeɣ.
Lliɣ ttmerriḥeɣ.
Lliɣ ttmettateɣ.
Lliɣ ttneffiseɣ.
Lliɣ ttneggizeɣ.
Lliɣ ttnemḍareɣ.
Lliɣ ttnuddumeɣ.
Lliɣ ttqeḍquḍeɣ.
Lliɣ ttqemmireɣ.
Lliɣ ttqeṣṣireɣ.
Lliɣ ttqeṣṣiṛeɣ.
Lliɣ ttqeyyileɣ.
Lliɣ ttqummuceɣ.
Lliɣ ttreɛriɛeɣ.
Lliɣ ttseffiqeɣ.
Lliɣ ttṣeffireɣ.
Lliɣ ttṣerrifeɣ.
Lliɣ ttṣewwireɣ.
Lliɣ ttṣeyyideɣ.
Lliɣ ttwaḍḍafeɣ.
Lliɣ ttwaḍelmeɣ.
Lliɣ ttwaḥeqreɣ.
Lliɣ ttwaḥeṛṛeɣ.
Lliɣ ttwaḥeṛseɣ.
Lliɣ ttwakeṛheɣ.
Lliɣ ttwargameɣ.
Lliɣ ttxemmileɣ.
Lliɣ ttxemmimeɣ.
Lliɣ uḍneɣ mliḥ.
Lliɣ ugdeɣ ɛṭen.
Lliɣ xeddɛeɣ-tt.
Lliɣ zedɣeɣ din.
Lliɣ zhiɣ yid-k.
Lmed tifyar-nni.
Lmulud d agugam.
Lmut d taḥeqqit.
Lqay mliḥ wasif.
Lqay ugelmim da.
Lsem lqecc-nwen!
Lsiɣ s lemɣawla.
Lsiɣ tismaqalin.
Lucie tesseglef.
Luɛant-as i Tom.
Luleɣ deg Kyoto.
Luleɣ deg Tubeṛ.
Luleɣ di Boston.
Lulɣ d gmiɣ dah.
Luẓeɣ am weqjun.
Lxilaf ur yelli.
Ma sussmeɣ axir.
Ma temsed awrus?
Ma tmes tenfust?
Mačči ar deffir.
Mačči d anelmad.
Mačči d aqeṣṣeṛ.
Mačči d aselmad.
Mačči d nutenti.
Mačči d tamedda.
Mačči d tikti-s.
Mačči d tin zik.
Mačči nneɣ kečč.
Mačči nneɣ kemm.
Maci d Tom, naɣ?
Maɣef ara ddunt?
Maɣef ara teddu?
Maɣef ara yeddu?
Maɣef ay d-ɣran?
Maɣef ay d-tusa?
Maɣef ay d-usan?
Maɣef ay d-yusa?
Maɣef ay ffɣent?
Maɣef ay ḥebsen?
Maɣef ay ikukra?
Maɣef ay kukran?
Maɣef ay nnuɣen?
Maɣef ay qeblen?
Maɣef ay qqimen?
Maɣef ay rewlen?
Maɣef ay t-bɣan?
Maɣef ay teddam?
Maɣef ay teffeɣ?
Maɣef ay teḥbes?
Maɣef ay teqbel?
Maɣef ay teqqim?
Maɣef ay terwel?
Maɣef ay texdeɛ?
Maɣef ay tezɛeḍ?
Maɣef ay t-ɣsen?
Maɣef ay tkukra?
Maɣef ay t-srin?
Maɣef ay t-teɣs?
Maɣef ay t-ttin?
Maɣef ay tuzzel?
Maɣef ay t-yeɣs?
Maɣef ay ugaden?
Maɣef ay uzzlen?
Maɣef ay xedɛen?
Maɣef ay yeffeɣ?
Maɣef ay yeḥbes?
Maɣef ay yeqbel?
Maɣef ay yeqqim?
Maɣef ay yerwel?
Maɣef ay yexdeɛ?
Maɣef ay yezɛeḍ?
Maɣef ay yuzzel?
Maɣef ay zeɛḍen?
Mani ay ixeddem?
Mani ay tlulemt?
Mani g ilul Tom?
Mani ɣa teddut ?
Marie ad teffad.
Marie ad tellaẓ.
Marie la tettru.
Marie tbeddel-d.
Marie teffunzer.
Marie temɛujjet.
Marie temmehmeh.
Marie teqqummec.
Marie tesɛuẓẓeg.
Marie tesɛuẓẓug.
Marie tesrejdel.
Marie tesri aya.
Marie tesselmad.
Marie teswecter.
Marie tettwabeẓ.
Marie tettwattu.
Marie tezdeɣ da.
Marie teẓẓar-it.
Marie tezzeɛwel.
Marie tqerreb-d.
Marie tra imcac?
Marie tugar Tom.
Marie turga Tom.
Marie twufeq-it.
Marie ur teffud.
Marie ur tewjid.
Marie yesbucbec.
May id ugur nla?
May yella amrar?
May yella iccer?
Mazal d ceṭṭḥeḍ?
Mazal d ceṭṭḥem?
Mazal ḥemmleɣ-k.
Mazal lḥal aṭas.
Mazal lḥal mliḥ.
Mazal telluẓemt?
Mazal ur qliɛeɣ.
Mazal ur telsiḍ?
Mazal-ik terfiḍ?
Mazal-ik tuḍneḍ?
Mazal-ikem din ?
Mazal-ikent din?
Mazal-it d nniya
Mazal-it yeɣleq.
Mazal-it yeṭṭes.
Mazal-k tbeddeḍ?
Mbiwel s ttawil.
Mcencen d abɛuc.
Mcta tlkm tura ?
Mdel abduz-nnek!
Mdel abduz-nnem!
Mdel adlis-nnek.
Mdel adlis-nnem.
Mdel idlisen-ik!
Mdel idlisen-im!
Medden akk ṛjan.
Medleɣ tazewwut.
Medlemt tawwurt!
Medlemt tawwurt.
Medlet tazewwut!
Medlet tazewwut.
Meɣɣer weslem-a.
Meɣɣred s tidet.
Meɣɣreɣ s tidet.
Meɣɣret s tidet.
Meɣɣret temdint.
Meɣɣrit s tidet.
Meɣɣrit yiḍan-a.
Meḥsub d awezɣi.
Mek tram, neddu.
Mek trid, neddu.
Melliḥet wettma.
Melmi ad d-asen?
Melmi ad k-iẓeṛ?
Melmi ad k-tẓeṛ?
Melmi ad k-ẓṛeɣ?
Melmi ad k-ẓṛen?
Melmi ad teddud?
Melmi ad teddum?
Melmi ad tefrid?
Melmi ad t-iẓeṛ?
Melmi ad t-ẓṛeɣ?
Melmi ad t-ẓṛen?
Melmi ara d-yas?
Melmi ara neddu?
Melmi ara ruḥen?
Melmi ara tebdu?
Melmi ara yebdu?
Melmi ay d-ilul?
Melmi ay d-tlul?
Melmi ay teẓrid?
Melmi ay tfaqed?
Melmi d-teqqlem?
Melmi i d-ruḥen?
Melmi i meggren?
Melmi nemyussan?
Memmi d aneɣmas.
Memmi d aselmad.
Menhu i iɣelben?
Menhu tettamneḍ?
Menwala tter-it.
Meqqer maḍi kan.
Meqqret temdint.
Meqqret texxamt.
Meqqun-d yemɣan.
Meslay s leɛqel.
Meslay s ttawil.
Meslayemt-iyi-d!
Meyyez i tagara.
Mlaleɣ yid-sent.
Mlalen s tuffra.
Mlalent-kent-id?
Mlalent-tent-id?
Mmekti-d ilindi.
Mmektiɣ-d yiwen.
Mmektiɣ-d yiwet.
Mmektiɣ-tent-id.
Mmel-as-t i Tom.
Mmi yeḍɛef aṭas.
Mmtemt s leɛqel!
Mmuqqel amkan-a.
Mmuqqel axxam-a.
Mmuqqel s lqerb.
Mmuqqlent ɣer-s.
Mmuteɣ si teḍṣa.
Mmuten f tlelli.
Mmuten wawwaten.
Msefhamen yid-i.
Msefhamen yid-k.
Msefhamen yid-m.
Msefhamen yid-s.
Mudden-akent-tt.
Mudden-asen-ten.
Mudden-asent-tt.
Mudden-awen-ten.
Mudden-iyi-tent.
Muddent-akent-t.
Muddent-ak-tent.
Muddent-am-tent.
Muddent-asent-t.
Muddent-asen-tt.
Muddent-as-tent.
Muddent-awen-tt.
Muddent-iyi-ten.
Muḥal zzmeɣ-kem.
Mulleɣ deg tira.
Muqel axxam-agi.
Muqel deg lemri.
Muqel iḍuḍan-iw.
Muqqel s liqṛib!
Muṛad yedderɣel.
Mxelleɣ fell-ak.
Mxelleɣ fell-am.
Mxelleɣ s tidet.
Mxellent lxalat.
Mxellent tullas.
Mziya ul yemmut.
Naɣ tesɛid aydi?
Naqal teḥqer-ik.
Naqal yeḥqer-ik.
Ncerreq tawwurt.
Ncikk akk deg-s.
Nebɣa ad nɛawen.
Nebɣa ad nedɣer.
Nebɣa ad neɛjeb.
Nebɣa takeṛṛust.
Nebɣa tiririyin.
Nebɣa-ken kenwi.
Nečč d Abriṭani.
Necci d anelmad.
Necci ttḥewwfeɣ.
Necfa fell-awen.
Necni d irjazen.
Necqarrew anẓar.
Nedda deg unẓar.
Nedda ɣer Marie.
Nedda ɣer ṣṣdeḥ.
Nedda ɣer wasif.
Nedda s tmacint.
Neḍḍes zik aṭas.
Neḍḍes zik mliḥ.
Neɛceq s wallen.
Nɛeyyu s tefses.
Nefka-asen ucci.
Neggul deg Mary.
Neggzet ɣer din.
Neɣra adlis-nni.
Neɣra armi ncab.
Neɣṛa-yas i Tom.
Negren yizmawen.
Neɣẓen, neɣ uhu?
Nehheṛ s leḥder.
Nehhreɣ akamyun.
Nehhṛeɣ akamyun.
Nehhṛeɣ yal ass.
Neḥka-d tiseḍsa.
Nehṛen s tsusmi.
Neḥwaj tamsulta.
Nejjem-ikem akk.
Nek d tizenzelt.
Nek s timmad-iw.
Nekk d abeṛṛani.
Nekk d Abiljiki.
Nekk d abṛazili.
Nekk d Abriṭani.
Nekk d Abulgaṛi.
Nekk d Afinlandi
Nekk d afṛensis.
Nekk d ajapunit.
Nekk d Alubnani.
Nekk d Ameṛṛuki.
Nekk d amesɣaru.
Nekk d amsestan.
Nekk d amurigam.
Nekk d arnaflas.
Nekk d asariẓri.
Nekk d Aṭalyani.
Nekk d Indunisi.
Nekk d tacinwat.
Nekk d tameṭṭut.
Nekk d tayemmat.
Nekk d weltma-k.
Nekk d weltma-m.
Nekk deɣreɣ Ken.
Nekk ɣucceɣ Tom.
Nekk keṛheɣ Tom.
Nekk maci d Tom.
Nekk maci nsent.
Nekk seg Ǧibuti.
Nekk seg Nuṛwij.
Nekk ttetteɣ da.
Nekk ttkikkiḍeɣ.
Nekk ugareɣ Tom.
Nekk ur d amẓiw.
Nekk ur ferrneɣ.
Nekk ur giɣ aya.
Nekk ur ttetteɣ.
Nekk ur xeddmeɣ.
Nekk xḍiɣ Yidir.
Nekk xeddmeɣ da.
Nekka-d si ssuq.
Nekkenti neqfez.
Nekkenti nesleb.
Nekki d aselmad.
Nekkini d amdan.
Nekkni d icenga.
Nekkni nettwali.
Nekkni neẓra-tt.
Nekni d atmaten.
Nekni d irgazen.
Nekṛeh tikerkas.
Nekṛeh tissisin.
Nekṛeh-it meṛṛa.
Nekṛen skerksen.
Nekrez iger-nni.
Nella d imdukal.
Nella deg uxxam.
Nella diri-aneɣ.
Nella neffunzer.
Nella neḥwaj-ik.
Nella nemḥemmal.
Nella nemmehmeh.
Nella nemyeḥmal.
Nella neqqummec.
Nella nesbucbuc.
Nella nesbuḥruy.
Nella nesɛuẓẓug.
Nella neskerkis.
Nella neslulduy.
Nella nesrejdil.
Nella nesseglaf.
Nella nesselqaf.
Nella nessewway.
Nella nessuṭṭuḍ.
Nella neswectir.
Nella nettaḍḍaf.
Nella nettaḍḍas.
Nella nettaki-d.
Nella nettazzal.
Nella nettɛassa.
Nella nettecceḍ.
Nella netteffeɣ.
Nella netteffer.
Nella netteqqen.
Nella netteẓẓel.
Nella nettgijji.
Nella nettgugum.
Nella nettifliw.
Nella nettimɣur.
Nella nettimẓiy.
Nella nettmurud.
Nella nettwabaẓ.
Nella nettwakar.
Nella nettẓalla.
Nella neẓra aya.
Nemdel taneččit.
Nemsudan. D acu?
Nemyussan yakan.
Nenker zik aṭas.
Nenker zik mliḥ.
Nenna-as i Mary.
Neqbel nnig wul.
Neqqel d icenga.
Neqqim nessusem.
Nerkes s musiqa.
Nerki argaz-nni.
Nerna aɛdaw-nni.
Ners ɣef wayyur.
Nesbeɣ-itent-id.
Nesɛa taɣennant.
Nesɛa takeṛṛust.
Nesgunfa i tili.
Nesḥeqq keṛṛusa.
Nesri akk tayri.
Nesri anẓar-nni.
Nessager-d akud.
Nessefhem-it-id.
Nessen ad necnu.
Nessen tizlit-a.
Neṣṣḥeɣ imsaɣen.
Nestaxer-d Mary.
Netni d intijen.
Netni d izeɛlak.
Netta d abugaṭu.
Netta d acelhab.
Netta d acennay.
Netta d acennay?
Netta d akerkas.
Netta d amedyaz.
Netta d amengaḍ.
Netta d amenzug.
Netta d amezraw.
Netta d amihwah.
Netta d amussan.
Netta d aneɣmas.
Netta d anelmad.
Netta d Aqbayli.
Netta d asegbar.
Netta d aselmad.
Netta d aselmad?
Netta d asertay.
Netta d imceṛṛi.
Netta d imsujji.
Netta d imsujji?
Netta d imzireg.
Netta yugar Tom.
Nettargu tafsut.
Nettḍeyyiɛ akud.
Neṭṭef-ikent-id.
Nettess akeffay.
Nettnadi talwit.
Nettnadi tifrat.
Nettqadar-ikent.
Nettuɣaḍ nezzeh.
Netturar tiddas.
Nezga nettcetki.
Nezmer ad narem?
Nezmer ad nebdu.
Nezmer ad necnu.
Nezmer ad nɛumm?
Neznuzay ayefki.
Neẓra-d imsujji.
Nga deg-k laman.
Nga deg-m laman.
Nga lwajeb-nneɣ.
Nga lwajeb-nteɣ.
Nga-d tikukiyin.
Nɣan-akent-tent.
Nɣan-asent-tent.
Nɣant-akent-ten.
Nɣant-asen-tent.
Nɣant-asent-ten.
Nɣant-awen-tent.
Nɣiɣ-akent-tent.
Nɣiɣ-asent-tent.
Nɣil yeḍḍes Tom.
Nhegga i waffug.
Nḥemmel ad nɛum.
Nḥemmel ad nɣer.
Nḥemmel akk Tom.
Nḥemmel tadlaxt.
Nitenti feṛḥent.
Nitenti jehdent.
Nitenti qefzent.
Nitenti umarent.
Nitni bdan yagi.
Nitni bɣan ugar.
Nitni d igerdan.
Nitni d imdanen.
Nitni d imɣaren.
Nitni d imsulta.
Nitni d Izwawen.
Nitni d uḍɛifen.
Nitni d uzzigen.
Nitni ssnen-iyi.
Nitni ullen-iyi.
Nkemmel aqeṣṣer.
Nla-ten deg sin.
Nlmmd Esperanto.
Nluɛa-yas i Tom.
Nmerreɣ deg usu.
Nnant-as i Mary.
Nnant-d rebḥent.
Nnant-d wufqent.
Nnek umsegdal-a?
Nnem umsegdal-a?
Nniɣ-as tfehmeḍ.
Nniɣ-as tfeṛḥeḍ.
Nniɣ-as tuweḍ-d.
Nniɣ-awent akka!
Nniɣ-d yagi uhu.
Nnuɣen yid-kent?
Nnuɣen yid-sent?
Nnuɣent yid-sen?
Nnuɣent yid-wen?
Nnummeɣ asemmiḍ.
Nnummeɣ ttedduɣ.
Nnummen asemmiḍ.
Nqemmer fell-as.
Nqerres fell-as.
Nqerres ɣef Tom.
Nrennu di lǧehd.
Nru i snat-nteɣ.
Nru yerna numen.
Nruḥ ad nḥewwes.
Nruḥ ad nmerreḥ.
Nsan deg usensu.
Nsan seg usensu.
Nsawel-as i Tom.
Ntab-it s tyita.
Nugad fell-asen.
Nugad fell-awen.
Nuɣal d iɛdawen.
Nuḥwaǧ walebɛaḍ.
Nulel igellilen.
Nuli tiseddaṛin.
Nuweḍ deg wakud.
Nwiɣ ad tqeblem.
Nwiɣ truḥeḍ-iyi.
Nwiɣ-t d amelsi.
Nxeddem ddukkli.
Nxeddem yal ass.
Nxelleṣ s lqebḍ.
Nxemmem fell-as.
Nxuṣṣ tteṛbeyya.
Nzerrew taɛṛabt.
O-nnek iga am a.
Qader iman-nnek.
Qader iman-nnem.
Qebblent isefka.
Qebleɣ nnig wul.
Qeblen nnig wul.
Qeccmeɣ tuɣmest.
Qelbemt tawṛiqt.
Qelleb ad tafeḍ.
Qemmreɣ fell-as.
Qemmren fell-as.
Qerrseɣ fell-as.
Qerrseɣ ɣef Tom.
Qerrsen fell-as.
Qerrsen ɣef Tom.
Qeṣṣer yid-sent.
Qessiḥ wawal-ik.
Qessiḥ wawal-im.
Qessiḥ yiles-is.
Qeṣṣrem yid-sen.
Qeṣṣret yid-sen.
Qewwdemt fell-i!
Qfel aqemmuc-ik.
Qfel aqemmuc-im.
Qiss teẓɣelt-is.
